Brand,Model,Year,OS,CPU,RAM,Storage,Battery,Resolution,Refresh_Rate,Price
Samsung,SM-A015M/DS Galaxy A01 2019 Dual SIM LTE LATAM,2020-03-01, Android," Qualcomm Snapdragon 439 SDM439, 2018, 64 bit, octa-core, 12 nm, Qualcomm Adreno 505 GPU",16.0,,3000.0,720x1520,,160.0
Samsung,SM-A015M Galaxy A01 2019 LTE LATAM,2020-03-01, Android," Qualcomm Snapdragon 439 SDM439, 2018, 64 bit, octa-core, 12 nm, Qualcomm Adreno 505 GPU",16.0,,3000.0,720x1520,,2680.0
Blackview,A80 Pro Global Dual SIM TD-LTE,2019-11-29, Android," MediaTek Helio P25 MT6757T, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T880 GPU",64.0,,4680.0,720x1560,,
Blackview,BV9100 Global Dual SIM TD-LTE,2019-09-01, Android," MediaTek Helio P35 MT6765, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",64.0,,13000.0,1080x2340,,
Blackview,BV9500 Pro Global Dual SIM TD-LTE,2018-06-01, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",128.0,,10000.0,1080x2160,,
Blackview,BV9500 Global Dual SIM TD-LTE,2018-08-01, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",64.0,,10000.0,1080x2160,,
Blackview,P10000 Pro Global Dual SIM TD-LTE,2018-05-01, Android," MediaTek Helio P23 MT6763, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",64.0,,11000.0,1080x2160,,
Infinix,ZERO 6 Pro Dual SIM TD-LTE 128GB X620,2019-03-01, Android," Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",128.0,,3650.0,1080x2246,,
QMobile,Phantom P1 Dual SIM LTE,2019-07-01, Android," UNISOC SC9863A, 2018, 64 bit, octa-core, 28 nm, IMG PowerVR GE8322 GPU",32.0,,3500.0,720x1440,,
QMobile,QSmart LT950 Dual SIM LTE,2019-06-01, Android,,16.0,,2250.0,720x1440,,
ZTE,Axon 10S Pro 5G A2020 SP Dual SIM TD-LTE CN 128GB,2020-02-01, Android," Qualcomm Snapdragon 865 5G SM8250 (Kona), 2020, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2304 Kbyte L2, 4096 Kbyte L3, 7 nm, Qualcomm Adreno 650 GPU",128.0,,4000.0,1080x2340,,
Xiaomi,Pocophone Poco X2 Premium Edition Dual SIM TD-LTE IN 256GB M1912G7BI,2020-02-11, Android," Qualcomm Snapdragon 730G SM7150-AB, 2019, 64 bit, octa-core, 1024 Kbyte L3, 8 nm, Qualcomm Adreno 618 GPU",256.0,,4500.0,1080x2400,120.0,
Oppo,Realme C3 Standard Edition Dual SIM TD-LTE IN 32GB RMX2027 / C3i,2020-02-14, Android," MediaTek Helio G70 MT6769V/CB, 2020, 64 bit, octa-core, 320 Kbyte L2, 1024 Kbyte L3, 12 nm, ARM Mali-G52 2EEMC2 GPU",32.0,,5000.0,720x1600,60.0,
Xiaomi,Pocophone Poco X2 Standard Edition Dual SIM TD-LTE IN 128GB M1912G7BI,2020-02-11, Android," Qualcomm Snapdragon 730G SM7150-AB, 2019, 64 bit, octa-core, 1024 Kbyte L3, 8 nm, Qualcomm Adreno 618 GPU",128.0,,4500.0,1080x2400,120.0,
Xiaomi,Pocophone Poco X2 Standard Edition Dual SIM TD-LTE IN 64GB,2020-02-11, Android," Qualcomm Snapdragon 730G SM7150-AB, 2019, 64 bit, octa-core, 1024 Kbyte L3, 8 nm, Qualcomm Adreno 618 GPU",64.0,,4500.0,1080x2400,120.0,
Samsung,SM-G770F/DS Galaxy S10 Lite Global Dual SIM TD-LTE 128GB,2020-02-02, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,4500.0,1080x2400,,
QMobile,QSmart LT900 Dual SIM LTE,2019-03-01, Android,,8.0,,2500.0,720x1440,,
Asus,ZenFone Go 4.5 Dual SIM ZB452KG,2016-07-01, Android," Qualcomm Snapdragon 200 MSM8212, 2013, 32 bit, quad-core, 45 nm, Qualcomm Adreno 302 GPU",8.0,,2070.0,480x845,,
Infinix,ZERO 6 Dual SIM TD-LTE 64GB X620B,2019-03-01, Android," Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",64.0,,3650.0,1080x2246,,
Oppo,Realme C3 Standard Edition Dual SIM TD-LTE IN 64GB RMX2027 / C3i,2020-02-14, Android," MediaTek Helio G70 MT6769V/CB, 2020, 64 bit, octa-core, 320 Kbyte L2, 1024 Kbyte L3, 12 nm, ARM Mali-G52 2EEMC2 GPU",64.0,,5000.0,720x1600,60.0,
Evolveo,StrongPhone G7 Dual SIM LTE-A EMEA SGP-G7-B,2019-09-01, Android," MediaTek Helio P23 MT6763, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",32.0,,6500.0,720x1440,,
QMobile,Phantom P1 Pro Dual SIM LTE,2019-07-01, Android," UNISOC SC9863A, 2018, 64 bit, octa-core, 28 nm, IMG PowerVR GE8322 GPU",32.0,,3500.0,720x1440,,
Oppo,Reno3 5G Aura Edition Dual SIM TD-LTE CN 128GB PCLM50,2020-02-14, Android," Qualcomm Snapdragon 765 5G SM7250-AA (Nairo), 2020, 64 bit, octa-core, 7 nm, Qualcomm Adreno 620 GPU",128.0,,4025.0,1080x2400,90.0,
Allview,X5 Soul Global Dual SIM TD-LTE,2018-09-01, Android," MediaTek Helio P22 MT6762, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",32.0,,3000.0,720x1520,,
Asus,ZenFone Max M1 Dual SIM LTE NA Version D ZB555KL 16GB,2018-09-01, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",16.0,,4000.0,720x1440,,
Asus,ZenFone Max M2 DTV  Dual SIM LTE BR Version E ZB555KL 32GB,2018-12-01, Android," Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 505 GPU",32.0,,4000.0,720x1440,,
Allview,X5 Soul Style Global Dual SIM TD-LTE,2018-11-01, Android," MediaTek Helio P22 MT6762, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",32.0,,4000.0,720x1500,,
Allview,X6 Soul Mini Dual SIM TD-LTE EMEA,2019-05-01, Android," MediaTek Helio P22 MT6762, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",16.0,,4000.0,720x1520,,
Allview,X6 Soul Xtreme Dual SIM TD-LTE EMEA,2019-04-01, Android," MediaTek Helio P70 MT6771WT, 2018, 64 bit, octa-core, 2048 Kbyte L2, 12 nm, ARM Mali-G72 GPU",64.0,,3450.0,1080x2340,,
Samsung,SM-A015V Galaxy A01 2019 LTE US,2020-03-01, Android," Qualcomm Snapdragon 439 SDM439, 2018, 64 bit, octa-core, 12 nm, Qualcomm Adreno 505 GPU",16.0,,3000.0,720x1520,,
Huawei,Y7p 2020 Dual SIM TD-LTE APAC LATAM 64GB ART-L28,2020-02-21, Android," HiSilicon Honor KIRIN710, 2018, 64 bit, octa-core, 12 nm, ARM Mali-G51 GPU",64.0,,4000.0,720x1560,,
Huawei,P40 Lite E Dual SIM TD-LTE EMEA 64GB ART-L29 / Y7p 2020,2020-03-06, Android," HiSilicon Honor KIRIN710, 2018, 64 bit, octa-core, 12 nm, ARM Mali-G51 GPU",64.0,,4000.0,720x1560,,
Unihertz,Atom Global Dual SIM TD-LTE,2018-06-08, Android," MediaTek Helio P23 MT6763, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",64.0,,2000.0,240x432,,
Motorola,Moto G8 Optimo Maxx TD-LTE US XT2041DL / G8 Power,2020-05-01, Android," Qualcomm Snapdragon 665 SM6125 (Trinket), 2019, 64 bit, octa-core, 11 nm, Qualcomm Adreno 610 GPU",,,5000.0,1080x2300,,
Motorola,Moto G Stylus 2020 TD-LTE NA 128GB XT2043-4 / G8 Stylus  XT2043-6,2020-03-01, Android," Qualcomm Snapdragon 665 SM6125 (Trinket), 2019, 64 bit, octa-core, 11 nm, Qualcomm Adreno 610 GPU",128.0,,4000.0,1080x2300,,299.0
Allview,V4 Viper Dual SIM TD-LTE EMEA,2019-09-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",16.0,,2700.0,720x1520,,
Allview,P10 Style Dual SIM TD-LTE EMEA,2018-10-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,2300.0,480x960,,
Allview,V4 Viper Pro Dual SIM TD-LTE EMEA,2019-01-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",32.0,,3500.0,640x1352,,
Allview,P10 Life Dual SIM TD-LTE EMEA,2019-01-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,2500.0,480x960,,
Samsung,SM-M315F/DS Galaxy M31 Global Dual SIM TD-LTE 128GB,2020-03-01, Android," Samsung Exynos 9 Octa 9611, 2019, 64 bit, octa-core, 10 nm, ARM Mali-G72 GPU",128.0,,6000.0,1080x2340,,15999.0
Unihertz,Titan Global Dual SIM TD-LTE,2020-01-01, Android," MediaTek Helio P60 MT6771, 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",128.0,,6000.0,1430x1438,,
Allview,P10 Mini Dual SIM TD-LTE EMEA,2019-04-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,2400.0,720x1280,,
LG,LMX320AM8 Neon Plus LTE US X320AM,2020-02-01, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",32.0,,3000.0,720x1440,,
LG,LMQ720TS3 Stylo 5x TD-LTE US Q720TS,2020-02-01, Android," Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",32.0,,3500.0,1080x2160,,
LG,L322DL Journey LTE US,2019-08-01, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",16.0,,3000.0,720x1440,,
LG,LMX420AS8 Xpression Plus 2 LTE-A US X420AS8,2019-09-01, Android," MediaTek Helio P22 MT6762, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",32.0,,3000.0,720x1440,,
LG,L423DL Solo LTE-A US,2019-06-01, Android," Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",16.0,,3000.0,720x1440,,
Xiaomi,Redmi 8A Dual Standard Edition Dual SIM TD-LTE IN 32GB M2001C3K3I / Redmi 8A Pro,2020-02-18, Android," Qualcomm Snapdragon 439 SDM439, 2018, 64 bit, octa-core, 12 nm, Qualcomm Adreno 505 GPU",32.0,,5000.0,720x1520,,
Allview,P10 Max Dual SIM TD-LTE EMEA,2019-04-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,3200.0,480x960,,
Allview,P10 Pro Dual SIM TD-LTE EMEA,2019-04-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",32.0,,3000.0,720x1440,,
Alcatel,U5 HD LTE EMEA 8GB 5047Y,2017-09-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,3000.0,720x1280,,
Alcatel,U5 HD Dual SIM TD-LTE APAC 16GB 5047I,2018-02-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,3000.0,720x1280,,
Alcatel,U5 HD Premium Dual SIM LTE EMEA 16GB 5047U,2018-02-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,3000.0,720x1280,,
Alcatel,U5 TD-LTE APAC 8GB 5044T / Optus X Spirit,2017-10-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,2050.0,480x854,,
Alcatel,U5 Dual SIM TD-LTE APAC 8GB 5044I,2017-07-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,2050.0,480x854,,
Alcatel,U5 3G Dual SIM EMEA 8GB 4047D,2017-06-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2050.0,480x854,,
Alcatel,U5 3G EMEA 8GB 4047X,2017-06-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2050.0,480x854,,
TCL,Optus X Start TD-LTE AU,2019-01-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,2000.0,480x960,,
Nokia,2.2 2019 Dual SIM TD-LTE IN 32GB,2019-06-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,3000.0,720x1520,,
Nokia,2.2 2019 Dual SIM TD-LTE IN 16GB,2019-06-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",16.0,,3000.0,720x1520,,
Nokia,2.2 2019 LTE NA 32GB,2019-07-16, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,3000.0,720x1520,,
Nokia,2.2 2019 LTE US 32GB,2019-07-16, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,3000.0,720x1520,,
Nokia,2.2 2019 Global TD-LTE 16GB,2019-07-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",16.0,,3000.0,720x1520,,
Nokia,3.2 2019 Global Dual SIM TD-LTE 16GB,2019-10-01, Android," Qualcomm Snapdragon 429 SDM429, 2018, 64 bit, quad-core, 12 nm, Qualcomm Adreno 504 GPU",16.0,,4000.0,720x1520,,
Nokia,3.2 2019 Global Dual SIM TD-LTE 64GB,2019-05-21, Android," Qualcomm Snapdragon 429 SDM429, 2018, 64 bit, quad-core, 12 nm, Qualcomm Adreno 504 GPU",64.0,,4000.0,720x1520,,
Nokia,3.2 2019 Global TD-LTE 16GB,2019-10-01, Android," Qualcomm Snapdragon 429 SDM429, 2018, 64 bit, quad-core, 12 nm, Qualcomm Adreno 504 GPU",16.0,,4000.0,720x1520,,
Nokia,3.2 2019 Dual SIM TD-LTE IN 16GB,2019-05-01, Android," Qualcomm Snapdragon 429 SDM429, 2018, 64 bit, quad-core, 12 nm, Qualcomm Adreno 504 GPU",16.0,,4000.0,720x1520,,
Nokia,3.2 2019 Dual SIM TD-LTE IN 32GB,2019-05-01, Android," Qualcomm Snapdragon 429 SDM429, 2018, 64 bit, quad-core, 12 nm, Qualcomm Adreno 504 GPU",32.0,,4000.0,720x1520,,
Allview,Young A10 Max Dual SIM,2019-11-18, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,3000.0,480x960,,
Allview,Young A10 Lite 2019 Dual SIM,2019-10-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2150.0,480x960,,
Allview,A10 Lite 2019 Premium Edition Dual SIM,2019-01-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,2150.0,480x960,,
Allview,Young A10 Plus Dual SIM,2018-11-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2200.0,480x960,,
Nokia,2.3 Global TD-LTE,2020-01-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,4000.0,720x1520,,
Nokia,2.3 LTE NA,2020-01-01, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,4000.0,720x1520,,
Nokia,2.3 Dual SIM TD-LTE IN,2019-12-19, Android," MediaTek Helio A22 MT6761, 2018, 64 bit, quad-core, 12 nm, IMG PowerVR GE8300 GPU",32.0,,4000.0,720x1520,,
Nokia,1 Plus Global Dual SIM TD-LTE,2019-04-16, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,2500.0,480x960,,
Nokia,1 Plus LTE NA,2019-05-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,2500.0,480x960,,
Nokia,1 Plus Dual SIM LTE AM,2019-05-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",8.0,,2500.0,480x960,,
Samsung,SM-A716B Galaxy A71 5G Global TD-LTE 128GB,2020-05-01, Android," Samsung Exynos 9 Octa 980, 2019, 64 bit, octa-core, 8 nm, ARM Mali-G76 GPU",128.0,,4500.0,1080x2400,,
Samsung,SM-G715FN/DS Galaxy XCover Pro 2020 Global Dual SIM TD-LTE,2020-03-01, Android," Samsung Exynos 9 Octa 9611, 2019, 64 bit, octa-core, 10 nm, ARM Mali-G72 GPU",64.0,,4050.0,1080x2340,,
Sharp,Aquos R5G 5G TD-LTE JP SH-51A,2020-03-26, Android," Qualcomm Snapdragon 865 5G SM8250 (Kona), 2020, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2304 Kbyte L2, 4096 Kbyte L3, 7 nm, Qualcomm Adreno 650 GPU",256.0,,3730.0,1440x3168,120.0,
Oppo,A31 2020 Standard Edition Dual SIM TD-LTE V1 IN SG 64GB CPH2015 / CPH2073,2020-02-14, Android," MediaTek Helio P35 MT6765, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",64.0,,4230.0,720x1600,,12990.0
Samsung,SM-A715F/DSM Galaxy A71 2019 Premium Edition Global Dual SIM TD-LTE 128GB,2020-02-24, Android," Qualcomm Snapdragon 730 SM7150-AA, 2019, 64 bit, octa-core, 1024 Kbyte L3, 8 nm, Qualcomm Adreno 618 GPU",128.0,,4500.0,1080x2400,,
Samsung,SM-G985F/DS Galaxy S20+ Global Dual SIM TD-LTE 128GB / Galaxy S11+,2020-03-06, Android," Samsung Exynos 9 Octa 990 S5E9830, 2019, 64 bit, octa-core, 7 nm, ARM Mali-G77 GPU",128.0,,4500.0,1440x3200,120.0,
Infinix,HOT S3X Dual SIM TD-LTE APAC 32GB,2018-08-01, Android," Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 505 GPU",32.0,,4000.0,720x1500,,
Oppo,Realme C3 Standard Edition Dual SIM TD-LTE ID PK VN PH 32GB RMX2020,2020-02-01, Android," MediaTek Helio G70 MT6769V/CB, 2020, 64 bit, octa-core, 320 Kbyte L2, 1024 Kbyte L3, 12 nm, ARM Mali-G52 2EEMC2 GPU",32.0,,5000.0,720x1600,60.0,
Sony,Xperia L4 Dual SIM TD-LTE EMEA XQ-AD52,2020-04-27, Android," MediaTek Helio P22 MT6762, 2018, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",64.0,,3580.0,720x1680,,
Samsung,SM-A7160 Galaxy A71 5G Dual SIM TD-LTE CN,2020-07-01, Android," Samsung Exynos 9 Octa 980, 2019, 64 bit, octa-core, 8 nm, ARM Mali-G76 GPU",128.0,,4500.0,1080x2400,,
Infinix,HOT S3X Dual SIM TD-LTE APAC 64GB,2018-08-01, Android," Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 505 GPU",64.0,,4000.0,720x1500,,
Samsung,SM-G980F/DS Galaxy S20 Global Dual SIM TD-LTE 128GB / Galaxy S11,2020-03-06, Android," Samsung Exynos 9 Octa 990 S5E9830, 2019, 64 bit, octa-core, 7 nm, ARM Mali-G77 GPU",128.0,,4000.0,1440x3200,120.0,
Kyocera,Digno 3 for Biz TD-LTE JP 904KC,2020-02-21, Android," Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",8.0,,1700.0,480x854,,
Infinix,NOTE 5 Stylus Dual SIM TD-LTE,2018-08-01, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",32.0,,4000.0,1080x2160,,
Infinix,HOT 6X Global Dual SIM TD-LTE 32GB,2017-09-02, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",32.0,,4000.0,720x1500,,
Samsung,SM-F700F/DS Galaxy Z Flip Global TD-LTE 256GB / SM-F700F,2020-02-14, Android," Qualcomm Snapdragon 855+ SM8150-AC (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",256.0,,3300.0,1080x2636,,
Blu,V0470UU Vivo XL 5 Dual SIM LTE,2019-07-01, Android," UNISOC SC9863A, 2018, 64 bit, octa-core, 28 nm, IMG PowerVR GE8322 GPU",64.0,,4000.0,720x1520,,
Motorola,Moto G8 Power Global Dual SIM TD-LTE XT2041-3,2020-04-01, Android," Qualcomm Snapdragon 665 SM6125 (Trinket), 2019, 64 bit, octa-core, 11 nm, Qualcomm Adreno 610 GPU",64.0,,5000.0,1080x2300,,
Huawei,Honor View 30 Pro 5G Global Dual SIM TD-LTE 256GB OXF-N29,2020-03-01, Android," HiSilicon Honor KIRIN990 5G, 2019, 64 bit, octa-core, 7 nm, ARM Mali-G76 GPU",256.0,,4100.0,1080x2400,,
LG,LMG820UM0 G8 ThinQ TD-LTE US G820UM,2019-04-11, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
LG,LMG820UM3 G8 ThinQ TD-LTE US G820UM,2019-04-01, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
LG,LMG820UMB G8 ThinQ LTE-A US G820UM,2019-04-11, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
LG,LMG820TMB G8 ThinQ TD-LTE US G820TM,2019-04-11, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
LG,LMG820QM7 G8 ThinQ TD-LTE US G820QM / LMG820QM8,2019-04-01, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
LG,LMG820QM5 G8 ThinQ TD-LTE US G820QM / LMG820QM7D,2019-04-01, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
Infinix,HOT 6X Global Dual SIM TD-LTE 16GB,2017-09-02, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",16.0,,4000.0,720x1500,,
Infinix,HOT 6 Dual SIM X606,2018-10-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,4000.0,720x1440,,
Infinix,HOT 7 Pro Dual SIM LTE EMEA 32GB X625C,2019-04-01, Android," MediaTek Helio P20 MT6757, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T880 GPU",32.0,,4000.0,720x1520,,
LG,LMG820UM2 G8 ThinQ TD-LTE NA G820UM,2019-04-01, Android," Qualcomm Snapdragon 855 SM8150 (Hana), 2019, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1792 Kbyte L2, 2048 Kbyte L3, 7 nm, Qualcomm Adreno 640 GPU",128.0,,3500.0,1440x3120,,
Xiaomi,Redmi 8A Dual Premium Edition Dual SIM TD-LTE IN 32GB M2001C3K3I / Redmi 8A Pro,2020-02-18, Android," Qualcomm Snapdragon 439 SDM439, 2018, 64 bit, octa-core, 12 nm, Qualcomm Adreno 505 GPU",32.0,,5000.0,720x1520,,
Xiaomi,Redmi Note 8 Pro Standard Edition Dual SIM TD-LTE IN 64GB M1906G7I,2019-11-01, Android," MediaTek Helio G90T MT6785V/CC, 2019, 64 bit, octa-core, 12 nm, ARM Mali-G76 3EEMC4 GPU",64.0,,4500.0,1080x2340,60.0,
Samsung,SM-G988B/DS Galaxy S20 Ultra 5G Global Dual SIM TD-LTE 128GB,2020-03-06, Android," Samsung Exynos 9 Octa 990 S5E9830, 2019, 64 bit, octa-core, 7 nm, ARM Mali-G77 GPU",128.0,,5000.0,1440x3200,120.0,
Infinix,HOT 6 Dual SIM X606B / X606D,2018-10-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,4000.0,720x1440,,
Infinix,HOT 7 Pro Dual SIM TD-LTE APAC 32GB X625B,2019-05-01, Android," MediaTek Helio A25 MT6762D, 2019, 64 bit, octa-core, 12 nm, IMG PowerVR GE8320 GPU",32.0,,4000.0,720x1520,,
